name,brand,category,sp,mrp,discount,type,weight,weightUnitType,description,productImageUrl,largeImageUrl
Family Farm Maida,Family Farm,Lowest Price,38,65,41,Maida,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_400222.jpg?ts=1603107415,https://cdn.grofers.com/app/images/products/full_screen/pro_400222.jpg?ts=1603107415
Organic Tattva Sooji,Organic Tattva,Grocery & Staples,42,55,23,Sooji,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_13469.jpg?ts=1591961068,https://cdn.grofers.com/app/images/products/full_screen/pro_13469.jpg?ts=1591961068
Family Farm Besan,Family Farm,Grocery & Staples,90,110,18,Besan,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_402642.jpg?ts=1603107471,https://cdn.grofers.com/app/images/products/full_screen/pro_402642.jpg?ts=1603107471
Chakki Atta,,Best Value,269,330,18,Atta,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_388639.jpg,https://cdn.grofers.com/app/images/products/full_screen/pro_388639.jpg
24 Mantra Organic Wheat Daliya,24 Mantra Organic,Breakfast & Dairy,45,45,0,Daliya,500 gm,gm,,https://cdn.grofers.com/app/images/products/normal/pro_32387.jpg?ts=1591687807,https://cdn.grofers.com/app/images/products/full_screen/pro_32387.jpg?ts=1591687807
Fortune Besan,Fortune,Grocery & Staples,85,120,29,Besan,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_13.jpg?ts=1582006624,https://cdn.grofers.com/app/images/products/full_screen/pro_13.jpg?ts=1582006624
Aashirvaad Select Whole Wheat Sharbati Atta,Aashirvaad Select,Grocery & Staples,255,295,13,Sharbati Atta,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_7.jpg?ts=1606724471,https://cdn.grofers.com/app/images/products/full_screen/pro_7.jpg?ts=1606724471
Bahut Badiya Besan,Bahut Badiya,Grocery & Staples,83,120,30,Besan,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_434491.jpg?ts=1605773385,https://cdn.grofers.com/app/images/products/full_screen/pro_434491.jpg?ts=1605773385
Aashirvaad Multigrain Atta,Aashirvaad,Grocery & Staples,263,305,13,Multigrain Atta,5 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_108301.jpg?ts=1604059490,https://cdn.grofers.com/app/images/products/full_screen/pro_108301.jpg?ts=1604059490
Fortune Chakki Fresh Atta,Fortune,Grocery & Staples,319,410,22,Atta,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_380157.jpg?ts=1582006627,https://cdn.grofers.com/app/images/products/full_screen/pro_380157.jpg?ts=1582006627
Nature Fresh Sampoorna Chakki Atta,Nature Fresh,Grocery & Staples,309,450,31,Atta,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_23951.jpg?ts=1588565910,https://cdn.grofers.com/app/images/products/full_screen/pro_23951.jpg?ts=1588565910
Pillsbury Chakki Fresh Atta,Pillsbury,Grocery & Staples,382,450,15,Atta,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_23694.jpg?ts=1595233299,https://cdn.grofers.com/app/images/products/full_screen/pro_23694.jpg?ts=1595233299
Patanjali Traditional Whole Wheat with Bran Chakki Atta,Patanjali,Grocery & Staples,350,350,0,Atta,10 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_55388.jpg?ts=1574316534,https://cdn.grofers.com/app/images/products/full_screen/pro_55388.jpg?ts=1574316534
Fortune Besan - Buy 2 Get 1 Free,Fortune,Grocery & Staples,120,180,33,Besan,3x500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_243016.jpg?ts=1608817384,https://cdn.grofers.com/app/images/products/full_screen/pro_243016.jpg?ts=1608817384
Tata Sampann Besan,Tata Sampann,Grocery & Staples,53,69,23,Besan,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_15486.jpg?ts=1590670287,https://cdn.grofers.com/app/images/products/full_screen/pro_15486.jpg?ts=1590670287
Satyam Besan,Satyam,Grocery & Staples,62,67,7,Besan,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_32772.jpg?ts=1590670289,https://cdn.grofers.com/app/images/products/full_screen/pro_32772.jpg?ts=1590670289
Grocery Besan,Grocery,Grocery & Staples,46,70,34,Besan,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_439960.jpg?ts=1611812970,https://cdn.grofers.com/app/images/products/full_screen/pro_439960.jpg?ts=1611812970
Whole Farm Pesticide Free Besan,Whole Farm,Grocery & Staples,71,100,28,Besan,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_438706.jpg?ts=1608633779,https://cdn.grofers.com/app/images/products/full_screen/pro_438706.jpg?ts=1608633779
Family Farm Sooji/Rava,Family Farm,Grocery & Staples,26,40,35,Sooji,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_403178.jpg?ts=1603107473,https://cdn.grofers.com/app/images/products/full_screen/pro_403178.jpg?ts=1603107473
Satyam Sooji/Rava,Satyam,Grocery & Staples,31,31,0,Sooji,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_139883.jpg?ts=1610691206,https://cdn.grofers.com/app/images/products/full_screen/pro_139883.jpg?ts=1610691206
Satyam Idli Sooji/Rava,Satyam,Grocery & Staples,29,29,0,Sooji,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_130250.jpg?ts=1589179010,https://cdn.grofers.com/app/images/products/full_screen/pro_130250.jpg?ts=1589179010
Grocery Idli Sooji/Rava,Grocery,Grocery & Staples,59,70,15,Sooji,1 kg,kg,,https://cdn.grofers.com/app/images/products/normal/pro_439964.jpg?ts=1611812970,https://cdn.grofers.com/app/images/products/full_screen/pro_439964.jpg?ts=1611812970
Satyam Maida,Satyam,Grocery & Staples,28,28,0,Maida,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_45092.jpg,https://cdn.grofers.com/app/images/products/full_screen/pro_45092.jpg
Bahut Badiya Maida,Bahut Badiya,Grocery & Staples,19,30,36,Maida,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_436918.jpg?ts=1604472639,https://cdn.grofers.com/app/images/products/full_screen/pro_436918.jpg?ts=1604472639
Grocery Maida,Grocery,Grocery & Staples,23,40,42,Maida,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_439988.jpg?ts=1611813125,https://cdn.grofers.com/app/images/products/full_screen/pro_439988.jpg?ts=1611813125
Pillsbury Pillsbury Chakki Fresh Atta + Tata Salt Combo,Pillsbury,Grocery & Staples,216,266,18,Combo,5kg + 1kg,N/A,,https://cdn.grofers.com/app/images/products/normal/pro_409800.jpg?ts=1575957679,https://cdn.grofers.com/app/images/products/full_screen/pro_409800.jpg?ts=1575957679
Satyam Bajra Flour,Satyam,Grocery & Staples,37,37,0,Bajra Flour,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_45052.jpg?ts=1590670332,https://cdn.grofers.com/app/images/products/full_screen/pro_45052.jpg?ts=1590670332
Satyam Rice Flour,Satyam,Grocery & Staples,33,33,0,Rice Flour,500 g,g,,https://cdn.grofers.com/app/images/products/normal/pro_45115.jpg?ts=1590670289,https://cdn.grofers.com/app/images/products/full_screen/pro_45115.jpg?ts=1590670289
