name,brand,manufacturer,category,sp,mrp,discount,productImageUrl
Musk Melon 1 kg,,-NA-,Fresh Fruits,37.72,37.72,0,https://www.jiomart.com/images/product/150x150/590000051/musk-melon-1-kg-0-20201118.jpg
Dates Imported 400 g (Pack),,-NA-,Fresh Fruits,165.45,165.45,0,https://www.jiomart.com/images/product/150x150/590002744/dates-imported-400-g-pack-0-20201118.jpg
Baby Kiwi 6 Pcs,,-NA-,Fresh Fruits,95.04,95.04,0,https://www.jiomart.com/images/product/150x150/590008484/baby-kiwi-6-pcs-0-20201118.jpg
Carrot Red per kg,,-NA-,Fresh Vegetables,31.8,31.8,0,https://www.jiomart.com/images/product/150x150/590000264/carrot-per-kg-0-20201118.jpg
Lauki (Bottle Gourd) 1 kg,,-NA-,Fresh Vegetables,29.13,29.13,0,https://www.jiomart.com/images/product/150x150/590000174/lauki-bottle-gourd-1-kg-0-20201118.jpg
Tomato per kg,,-NA-,Fresh Vegetables,23.13,23.13,0,https://www.jiomart.com/images/product/150x150/590003517/tomato-per-kg-0-20200710.jpg
Banana Robusta 6 Pcs (Box),,-NA-,Fresh Fruits,30.93,30.93,0,https://www.jiomart.com/images/product/150x150/590001285/banana-robusta-6-pcs-box-0-20201126.jpg
Sweet Corn 1 pc,,-NA-,Fresh Vegetables,12.92,12.92,0,https://www.jiomart.com/images/product/150x150/590001266/sweet-corn-1-pc-0-20201118.jpg
Bemisal Popular Basmati Rice 5 kg,,-NA-,Rice & Rice Products,249.0,750.0,66,https://www.jiomart.com/images/product/150x150/590121763/bemisal-popular-basmati-rice-5-kg-0-20201222.jpg
Potato per kg,,-NA-,Fresh Vegetables,26.31,26.31,0,https://www.jiomart.com/images/product/150x150/590003516/potato-per-kg-0-20200710.jpg
Tender Coconut 1 pc,,-NA-,Fresh Fruits,35.37,35.37,0,https://www.jiomart.com/images/product/150x150/590000097/tender-coconut-1-pc-0-20201125.jpg
Pineapple Queen 1 pc,,-NA-,Fresh Fruits,46.39,46.39,0,https://www.jiomart.com/images/product/150x150/590000070/pineapple-queen-1-pc-0-20201119.jpg
Cauliflower per Pc,,-NA-,Fresh Vegetables,31.63,31.63,0,https://www.jiomart.com/images/product/150x150/590003537/cauliflower-per-pc-0-20200710.jpg
Cabbage per Pc,,-NA-,Fresh Vegetables,12.0,12.0,0,https://www.jiomart.com/images/product/150x150/590003538/cabbage-per-pc-0-20200710.jpg
Green Capsicum 500 g,,-NA-,Fresh Vegetables,25.82,25.82,0,https://www.jiomart.com/images/product/150x150/590003662/green-capsicum-500-g-0-20201118.jpg
Bhendi (Okra) per 500 g,,-NA-,Fresh Vegetables,30.57,30.57,0,https://www.jiomart.com/images/product/150x150/590003550/bhendi-okra-per-500-g-0-20201118.jpg
Papaya (Each),,-NA-,Fresh Fruits,45.53,45.53,0,https://www.jiomart.com/images/product/150x150/590001247/papaya-each-0-20201118.jpg
Mushroom 200 g (Pack),,-NA-,Exotic Fruits & Vegetables,46.55,46.55,0,https://www.jiomart.com/images/product/150x150/590000245/mushroom-200-g-pack-0-20201118.jpg
